name,short_description,detailed_description,business_function,capabilities,owner,technology,status
Chamberlain,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

SB to client template PPT

Yet to receice input",,Yet to receice input,Yogesh Hankre,RPA,ACTIVE
Cousera 247 - Tool List extraction,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Yet to receice input",,Yet to receice input,Shabna,RPA,ACTIVE
Word to Coursera,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

YTS",,YTS,Purnima,RPA,ACTIVE
UOP SB Conversion,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Need to create a interim conversion for BOT tempalte

YTS",,YTS,Bhumista,RPA,ACTIVE
Accessibility Link Checker for UMGC,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

To check the list of link in the word document

YTS",,YTS,Bhumista,RPA,ACTIVE
AEM - Knowledge Check Shuffle,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Ananya,RPA,ACTIVE
Coursera 247 - VSB PPT Generation automation,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna,RPA,ACTIVE
D2L - Quiz Multiselect,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Purnima,RPA,ACTIVE
D2L - AEM Linking,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Purnima,RPA,ACTIVE
UMGC SB Checker,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Ananya,RPA,ACTIVE
Speechelo Text-to-Speech Integration,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Akshita Lad,RPA,ACTIVE
Coursera247 - SB to Outline Formatting update,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna,RPA,ACTIVE
AirtableUpdate,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna,RPA,ACTIVE
Coursera247-Ungraded Lab,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna,RPA,ACTIVE
NCLEX-45 Concepts Doc to PPT conversion,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Bhumista,RPA,ACTIVE
Coursera247 - Screencast VSB Scrip and Narration Script Extraction Automation,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna/Fawzan,RPA,ACTIVE
Long Form Form Data,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

YTS",,YTS,Anima,RPA,ACTIVE
Coursera@47 - IVQ,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Anima,RPA,ACTIVE
UMGC - Sharepoint_Doc_Checker,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

YTS",,YTS,Romal,RPA,ACTIVE
Coursera247 - Practice Quiz and Pracitice assignment,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Shabna,RPA,ACTIVE
Coursera 16 - VSB PPT,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.",,,Fawzan Meer,RPA,ACTIVE
Cousera247 - HOL PDF Upload to Courseshell,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Kanchan Shine,RPA,ACTIVE
HBP Coursera - Interactivies Integration,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Rajasmitha,RPA,ACTIVE
Filename renaming,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,"there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.

created a python web app which takes input the root drive path and prefix naming and it will update recursively to all the files with the prefix naming",,created a python web app which takes input the root drive path and prefix naming and it will update recursively to all the files with the prefix naming,Reena,RPA,ACTIVE
Drive to SVN Automation,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Shikha,Python,ACTIVE
coursera XDP Document,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Meena,Python / UIPath,ACTIVE
project module,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Meena,Python / UIPath,ACTIVE
career,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Meena,Python / UIPath,ACTIVE
GenAI,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,there are about 200+ interactives to added to coursera courses inside each of the module by adding plugins.,,,Meena,Python / UIPath,ACTIVE
capstone,capstone,capstone,,,Meena,Python / UIPath,ACTIVE
CMU,Earlier BOT will handle one instance in a unit.,Earlier BOT will handle one instance in a unit.,,,Dimple/Ankita,UIPath,ACTIVE
UMGC Assignment BOT Update,Combined assignments being splitted manually and this is time consuming,"Combined assignments being splitted manually and this is time consuming

BOT is updated so that it splits assignements and uploads separately",,BOT is updated so that it splits assignements and uploads separately,Purnima,UIPath,ACTIVE
Haremi Avallain,taking time to each LO details manually,taking time to each LO details manually,,,Shiv/Purnima,UIPath,ACTIVE
Stevens Canvas BOT,Stevens Canvas BOT,3 hours per course,,3 hours per course,Uttara,RPA,ACTIVE
Stevens Podcast extraction,Client has provided NotebookLM to extract Podcast from each module lesson-wise. The input SB has all the lesson in one module. It is very tedious work to split each and every lesson from each module and if there are...,"Client has provided NotebookLM to extract Podcast from each module lesson-wise. The input SB has all the lesson in one module. It is very tedious work to split each and every lesson from each module and if there are pages inside lessons, page 4 to be remove. There is a effort to upload doc to NotebookLM and wait till podcast to generate and download

A python script created to split all the lesson from the input module wise SB and ignore few pages being extracted.
A BOT is created to avoid manual upload and downlaod into NotebookLM platform",,A python script created to split all the lesson from the input module wise SB and ignore few pages being extracted. A BOT is created to avoid manual upload and...,Srikanth,Python Script / UIPath,ACTIVE
Stevens Podcast Transcript Extraction,"To review the generated podcast from lessons, the ID/QA will require transcript from audio to checke the podcast agianst with SB","To review the generated podcast from lessons, the ID/QA will require transcript from audio to checke the podcast agianst with SB

Created a python script to extract transcript with que points and only text from audio",,Created a python script to extract transcript with que points and only text from audio,Srikanth,RPA,ACTIVE
Coursera - Video OST population on AfterEffects/Premier,Coursera - Video OST population on AfterEffects/Premier,Coursera - Video OST population on AfterEffects/Premier,,,Vijayaragavan,RPA,ACTIVE
CMU Podcast script extraction and importing into BOT template,To use the existing BOT to convert audio from text need to populate podcast content into BOT word template.,"To use the existing BOT to convert audio from text need to populate podcast content into BOT word template.

A python script is created to extract podcast content from storyboard and populate it in Elevelabs input template",,A python script is created to extract podcast content from storyboard and populate it in Elevelabs input template,Anupma,Python,ACTIVE
CMU Platform upload BOT,Adding components and relevant css is time consuming,"Adding components and relevant css is time consuming

A BOT is created to avoid manual choosing template and content to it on the CMU Platform",,A BOT is created to avoid manual choosing template and content to it on the CMU Platform,Rupa Mishra,UIPath / Python,ACTIVE
Sharpen - Content Review - Extraction,Manuallya extracting chapter summary screenshot and Quiz extraction is time consuming,"Manuallya extracting chapter summary screenshot and Quiz extraction is time consuming

Created a python which navigates the coursesumary URL of a particular chapter and takes screenshots and save it in a sheet.
Also under ellie chapter extracts all the quiz content in client said format",,Created a python which navigates the coursesumary URL of a particular chapter and takes screenshots and save it in a sheet. Also under ellie chapter extracts...,Retesh Kotian,Python,ACTIVE
RISE - ACS - BOT New Templates,Adding each template's comp,Adding each template's comp,,,Sanchita Datta,RPA,ACTIVE
TX Math - Video Download Automation,downloading each video files form frame.io is time consuming and uploading back to drive,"downloading each video files form frame.io is time consuming and uploading back to drive

Created a UIPath BOT to download videos and supporting files from frame.io and deoployed in four machines so that multiple files downloads parallelly and also created a python script to upload back to drive",,Created a UIPath BOT to download videos and supporting files from frame.io and deoployed in four machines so that multiple files downloads parallelly and also...,Lakhan Khandagale,UiPath / Python,ACTIVE
ING - Accessibility doc extraction from ASL web package,creating accessibility document from already completed asl file for mulitple languages is time consuming,"creating accessibility document from already completed asl file for mulitple languages is time consuming

Created a python script to extract accessibility document based on the sample file shared for muliptle languages",,Created a python script to extract accessibility document based on the sample file shared for muliptle languages,Amrita,Python,ACTIVE
GGU - D2L,Selecting template copy and pasting conent from the SB to D2L platform is time consuming,"Selecting template copy and pasting conent from the SB to D2L platform is time consuming

Create BOT to choose template and populate content from SB to platform",,Create BOT to choose template and populate content from SB to platform,Uttara,UIPath,ACTIVE
CMU platform upload,coying each html layout and importing into blackboard is timeconsuming,"coying each html layout and importing into blackboard is timeconsuming

created a bot which reads excel for the unit title and relevant html file and import it in the blackboard platform",,created a bot which reads excel for the unit title and relevant html file and import it in the blackboard platform,Anupma/Shiv,UiPath,ACTIVE
Elllie - Quiz Count,Manuallya calculating the quiz count under each chapter for a course is time consiuming,"Manuallya calculating the quiz count under each chapter for a course is time consiuming

Created a python script which navigates each course and expand each chapter and extracts quiz count and add it to excel sheet",,Created a python script which navigates each course and expand each chapter and extracts quiz count and add it to excel sheet,Retesh Kotian,RPA,ACTIVE
BitsPilani - D2L,BitsPilani - D2L,BitsPilani - D2L,,,Sanchita,RPA,ACTIVE
Minnesota - Canvas,Minnesota - Canvas,Minnesota - Canvas,,,Mukesh,RPA,ACTIVE
NUC - Canvas,NUC - Canvas,NUC - Canvas,,,Mukesh,RPA,ACTIVE
Coursera - PreLaunch QA,Coursera - PreLaunch QA,Coursera - PreLaunch QA,,,Shikha,RPA,ACTIVE
